Gene.id,Neutrophil,RBC,Bcell,Monocyte,CD4.Tcell,CD8.Tcell,Platelet
ENSG00000186431,-0.018201928,-0.03282366,-0.032160627,-0.020284698,-0.032818052,-0.032819016,-0.032793169
ENSG00000113749,-0.006102525,-0.03282366,-0.030241993,-0.025334431,-0.032283945,-0.03255855,-0.032794019
ENSG00000189068,-0.003845237,-0.03282366,-0.030092001,-0.012515382,-0.032814217,-0.03282366,-0.032729524
ENSG00000261971,-0.012993956,-0.03282366,-0.032191696,-0.032371934,-0.030797838,-0.029563525,-0.032788804
ENSG00000174125,-0.007194004,-0.032817656,-0.028070008,-0.029448712,-0.03208928,-0.032423822,-0.032815706
ENSG00000136869,-0.020020929,-0.03282366,-0.03173385,-0.028481515,-0.032821661,-0.032822004,-0.032807353
ENSG00000140678,0.110821816,-0.03282366,-0.002941702,0.016853758,-0.032369745,-0.031896218,-0.032505814
ENSG00000171777,0.017609154,-0.03282366,-0.026332627,-0.011083116,-0.032189255,-0.032658148,-0.032717306
ENSG00000105514,-0.011554549,-0.032820578,-0.031012125,-0.024946806,-0.032460179,-0.032649501,-0.032812772
ENSG00000273112,-0.029031889,-0.03282366,-0.032645247,-0.032714079,-0.03282366,-0.03282366,-0.03282366
ENSG00000146094,0.02459239,-0.03282366,-0.021273796,-0.012058237,-0.032749381,-0.032732518,-0.031973545
ENSG00000018280,0.026817762,-0.03282366,-0.021678043,0.013926175,-0.032696725,-0.032755261,-0.032660128
ENSG00000244482,0.003515225,-0.032821156,-0.02665633,-0.006161821,-0.032774843,-0.032783228,-0.03275288
ENSG00000258476,-0.028591133,-0.03282366,-0.032754622,-0.032261953,-0.03282366,-0.032809679,-0.03282366
ENSG00000137642,0.051471624,-0.03282191,-0.028574602,-0.028088161,-0.018337983,-0.020483718,-0.032763693
ENSG00000203999,-0.029579648,-0.03282366,-0.032771285,-0.032645582,-0.03282366,-0.03282366,-0.03282366
ENSG00000073331,-0.025407504,-0.032823108,-0.032136023,-0.032131811,-0.032527607,-0.032632849,-0.032812929
ENSG00000184730,0.050771034,-0.03282366,-0.026782127,-0.001789417,-0.028607245,-0.028438876,-0.032639752
ENSG00000114268,-0.020323319,-0.032821431,-0.031337337,-0.028994894,-0.032688954,-0.032661706,-0.032798065
ENSG00000103381,0.016343125,-0.032815262,-0.023442785,-0.012823613,-0.031945773,-0.032323676,-0.03264564
ENSG00000137462,-0.00476178,-0.03282366,-0.027950094,-0.015831784,-0.032635454,-0.032659355,-0.032747604
ENSG00000132965,0.071634079,-0.03282366,-0.025649756,-0.022188045,-0.016909091,-0.022782532,-0.032508168
ENSG00000175538,-0.018020124,-0.032821809,-0.03069585,-0.025426334,-0.032816443,-0.03282366,-0.032683051
ENSG00000239998,-0.00640794,-0.03282366,-0.026995013,-0.010453942,-0.032766607,-0.032757917,-0.032713516
ENSG00000197405,0.095642664,-0.032814434,0.008781201,0.067770592,-0.032598845,-0.032685873,-0.032379543
ENSG00000115523,0.005177715,-0.032821429,-0.022494953,-0.032471823,-0.032314836,-0.025976389,-0.031440394
ENSG00000129450,-0.01493976,-0.03282366,-0.030744709,-0.023791711,-0.032604172,-0.032537994,-0.032733683
