Gene.id,Adipose.Tissue,Bladder,Brain,Colon,Esophagus,Heart,Kidney,Liver,Lung,Muscle,Nerve,Pancreas,Pituitary,Skin,Small.Intestine,Stomach
ENSG00000175206,-0.086939126,-0.087889579,-0.087108,-0.087053884,-0.086975029,4.825865308,-0.087737252,-0.087673104,-0.086690587,-0.087030718,-0.086756684,-0.087728449,-0.086824745,-0.086985039,-0.086999307,-0.087482808
ENSG00000129991,-0.087898441,-0.088201192,-0.087680376,-0.088060826,-0.087933707,0.911296475,-0.088073654,-0.088152667,-0.087018521,-0.086397012,-0.087897167,-0.088132458,-0.087687281,-0.087462167,-0.088080614,-0.088097251
ENSG00000134571,-0.088155175,-0.088275032,-0.088199456,-0.088116459,-0.08817848,0.094041528,-0.088146811,-0.088265469,-0.087882604,-0.088242063,-0.088200335,-0.0881149,-0.088251925,-0.088250602,-0.088208928,-0.087638383
ENSG00000242349,-0.087449008,-0.087660764,-0.087399012,-0.087509167,-0.087673065,-0.080417458,-0.08755687,-0.08759828,-0.086143412,-0.08805329,-0.087455238,-0.087714153,-0.082778515,-0.087623011,-0.086178158,-0.087599343
ENSG00000198336,-0.087773634,-0.088109079,-0.088164179,-0.088077885,-0.088019513,0.42362243,-0.088107657,-0.08811799,-0.087570616,-0.087740038,-0.087749146,-0.088211804,-0.088090926,-0.088032414,-0.088021626,-0.087664685
ENSG00000148677,-0.088070839,-0.08823377,-0.088178242,-0.088091541,-0.087451971,0.348819656,-0.088185447,-0.087906428,-0.071678383,0.012684926,-0.087846593,-0.088167888,-0.087914696,-0.084336052,-0.088195537,-0.088152608
ENSG00000036448,-0.087035884,-0.086655492,-0.083548756,-0.086947631,-0.085952122,0.022681087,-0.085933759,-0.086700109,-0.085855487,-0.005049827,-0.086351926,-0.087614332,-0.085417422,-0.086723425,-0.087006104,-0.08737044
ENSG00000121769,-0.080046924,-0.085104866,-0.068225031,-0.084168853,-0.080973276,0.569851224,-0.058725208,-0.087370903,-0.07912406,0.215868192,-0.084026153,-0.08799023,-0.084252014,-0.084396204,-0.085627786,-0.077237869
ENSG00000070915,-0.088299755,-0.088255475,-0.088288378,-0.088292655,-0.088296168,-0.088305241,-0.071791274,-0.088302248,-0.088282346,-0.088305159,-0.088297166,-0.088273392,-0.088287609,-0.088300105,-0.088141521,-0.088257066
ENSG00000174827,-0.088196225,-0.088223471,-0.086462665,-0.087916467,-0.088182076,-0.088244613,-0.041676078,-0.075553456,-0.08816314,-0.088260183,-0.088136686,-0.086396418,-0.088075676,-0.087808221,-0.073619061,-0.088146536
ENSG00000147003,-0.088217315,-0.08793859,-0.088179741,-0.088223953,-0.088202409,-0.0882192,-0.072267284,-0.086352806,-0.088006778,-0.088295821,-0.088155024,-0.088001197,-0.088080952,-0.088187121,-0.088218251,-0.087950594
ENSG00000171564,-0.087787971,-0.087868245,-0.087987174,-0.08722217,-0.08775552,-0.087652584,-0.075697161,2.147914375,-0.087310477,-0.08821274,-0.088190319,-0.084471269,-0.08811822,-0.08814995,-0.088015692,-0.085314704
ENSG00000158874,-0.087708562,-0.08800293,-0.088113365,-0.088109012,-0.087954629,-0.087999163,-0.088086616,2.70838285,-0.087654467,-0.08818947,-0.088120189,-0.087966612,-0.087865329,-0.088089727,-0.088049204,-0.088052126
ENSG00000229314,-0.085106821,-0.087567577,-0.088086561,-0.08786358,-0.0877577,-0.087655618,-0.088028809,5.334082884,-0.078296836,-0.088002344,-0.087944845,-0.086430222,-0.08787536,-0.087922673,-0.087805874,-0.085407472
ENSG00000171560,-0.087775004,-0.087862937,-0.08824772,-0.088149423,-0.08806684,-0.088084285,-0.086496115,2.080689978,-0.086315593,-0.088220474,-0.088199944,-0.085166537,-0.088160686,-0.088154993,-0.088102499,-0.083738204
ENSG00000091583,-0.088090371,-0.088251743,-0.088273531,-0.088158289,-0.088220232,-0.088190812,-0.087607449,0.610087452,-0.087435136,-0.088273367,-0.088254268,-0.08717985,-0.088225549,-0.088231447,-0.088182909,-0.087698969
ENSG00000163631,-0.086674849,-0.087704298,-0.087628527,-0.087652244,-0.086868268,-0.086856941,-0.06920178,7.634867075,-0.085865874,-0.087863563,-0.087219321,0.001113112,-0.087035187,-0.087461745,-0.087533356,-0.086337603
ENSG00000171557,-0.087856121,-0.087911688,-0.088238852,-0.088141584,-0.088102448,-0.08807813,-0.087434549,1.848171286,-0.071192549,-0.088220867,-0.088186852,-0.084808364,-0.088145289,-0.088145704,-0.088148339,-0.086731603
ENSG00000145192,-0.08825608,-0.088286346,-0.088276271,-0.088285509,-0.088269267,-0.088275068,-0.088274604,0.178165096,-0.088275321,-0.088294593,-0.08829232,-0.088210255,-0.088279845,-0.088271886,-0.088285505,-0.088281876
ENSG00000133661,-0.088122963,-0.088197251,-0.087726171,-0.088107964,-0.087968983,-0.088166152,-0.08804479,-0.088188255,-0.008459445,-0.088267936,-0.088037061,-0.087833025,-0.087169517,-0.087446357,-0.088186083,-0.088086904
ENSG00000142748,-0.077248882,-0.087363106,-0.088119814,-0.087377572,-0.086834944,-0.082536784,-0.082058145,-0.068098897,0.171201513,-0.086944884,-0.087423725,-0.086622571,-0.085653962,-0.087858444,-0.086841595,-0.086706313
